id,type,domain,enabled,date_added,date_modified,comment
81,1,telemetry.malwarebytes.com,1,1598998202,1616537907,"MalWareBytes Telemetry"
82,1,keystone.mwbsys.com,1,1598998250,1616537907,"MalWareBytes Telemetry"
83,1,malwarebytes.invisionmanaged.net,1,1598998276,1616537908,"MalWareBytes Telemetry"
84,1,sirius.mwbsys.com,1,1598998290,1616537908,"MalWareBytes Telemetry"
85,1,hubble.mb-cosmos.com,1,1598998305,1616537908,"MalWareBytes Telemetry"
89,0,1dot1dot1dot1.cloudflare-dns.com,1,1598998999,1616537912,"Added from Query Log"
92,0,forums.malwarebytes.com,1,1598999536,1616537912,
98,0,angryip.org,1,1599170870,1616537912,"Home of Angry IP Scanner"
99,0,www.google.com,1,1599389789,1616537912,"Added from Query Log"
110,0,netflix.com,1,1599403610,1616537912,Netflix
111,0,youtu.be,1,1599403654,1616537912,"YouTube Shortener"
112,0,www.ghacks.net,1,1599409078,1616537912,"Added from Query Log"
141,0,checkappexec.microsoft.com,1,1599481835,1616537912,"Microsoft SmartScreen"
142,0,static.xx.fbcdn.net,1,1599496992,1616537912,"Added from Query Log"
148,0,edge-chat.facebook.com,1,1599498440,1616537912,"Facebook (Chat)"
149,0,star.c10r.facebook.com,1,1599498480,1616537912,"Added from Query Log"
150,0,pancake.apple.com,1,1599499767,1616537912,"home sharing"
151,0,www.teslarati.com,1,1599681763,1616537912,"Added from Query Log"
152,0,sirius.mwbsys.com,1,1599857662,1616537912,"Added from Query Log"
153,0,www.dropbox.com,1,1599945974,1616537912,"Added from Query Log"
154,0,30907.content.swrve.com,1,1604090810,1616537912,"Added from Query Log"
155,0,email.mg.swgemu.com,1,1604184116,1616537912,"Added from Query Log"
160,3,(\.|^)ocsp\.apple\.com$,1,1605390688,1616537908,"Apple/Akamai new Telemetry"
177,0,api.us-east-1.aiv-delivery.net,1,1606665045,1616537912,"Part Of Amazon Prime Video"
178,0,frog.wix.com,1,1607120864,1616537912,"Added from Query Log"
179,0,browser.sentry-cdn.com,1,1607120869,1616537912,"Added from Query Log"
180,0,js.sentry-cdn.com,1,1607120969,1616537912,"Added from Query Log"
181,0,sentry.wixpress.com,1,1607121000,1616537912,"Added from Query Log"
182,0,js-agent.newrelic.com,1,1607121022,1616537912,"Added from Query Log"
183,0,cdn.ravenjs.com,1,1607121097,1616537912,"Added from Query Log"
199,3,(^|\.)wpad$,1,1607383367,1616537908,"Web Proxy Auto-Discovery"
200,3,(^|\.)wpad\.lan$,1,1607383379,1616537908,"Web Proxy Auto-Discovery"
201,2,(^|\.)facebook\.com$,1,1607641309,1616537913,"Facebook (Whitelist)"
202,2,(^|\.)www\.facebook\.com$,1,1607641309,1616537913,"Facebook (Whitelist)"
203,2,(^|\.)m\.facebook\.com$,1,1607641309,1616537913,"Facebook (Whitelist)"
205,2,(\.|^)www\.facebook\.com$,1,1607641992,1616537913,"Facebook (Whitelist)"
206,0,tracking-protection.cdn.mozilla.net,1,1607643557,1616537912,"Mozilla Firefox Tracking Protection"
208,2,(^|\.)coinbase\.com$,1,1608334577,1616537913,
209,0,aka.ms,1,1608375629,1616537912,"Added from Query Log"
210,1,aka.ms,1,1608922719,1616537908,"Microsoft URL shortening service"
211,0,www.poolin.com,1,1608930701,1616537912,"Added from Query Log"
212,0,www.litecoinpool.org,1,1608930704,1616537912,"Added from Query Log"
213,0,poolin.com,1,1608930824,1616537912,"Added from Query Log"
214,0,io.litecoinpool.org,1,1608930829,1616537912,"Added from Query Log"
215,0,explorer.poolin.com,1,1608930832,1616537912,"Added from Query Log"
216,0,help.poolin.com,1,1608932102,1616537912,"Added from Query Log"
217,0,api-prod.poolin.com,1,1608932271,1616537912,"Added from Query Log"
218,0,ethermine.org,1,1608934140,1616537912,"Added from Query Log"
219,0,api.ethermine.org,1,1608934327,1616537912,"Added from Query Log"
220,0,nicehash.com,1,1608935043,1616537912,"Added from Query Log"
221,0,www.nicehash.com,1,1608935070,1616537912,"Added from Query Log"
222,0,status.nicehash.com,1,1608935101,1616537912,"Added from Query Log"
223,0,api2.nicehash.com,1,1608935129,1616537912,"Added from Query Log"
224,0,files.nicehash.com,1,1608935184,1616537912,"Added from Query Log"
225,0,us1.ethermine.org,1,1608936804,1616537912,"Added from Query Log"
226,0,eu1.ethermine.org,1,1608936872,1616537912,"Added from Query Log"
227,0,fonts.gstatic.com,1,1609363500,1616537912,"Added from Query Log"
228,0,t.paypal.com,1,1609367796,1616537912,"Added from Query Log"
229,0,blockchain.com,1,1609500943,1616537912,"Added from Query Log"
230,0,crumbs.robinhood.com,1,1609887138,1616537912,"Added from Query Log"
231,0,analytics.robinhood.com,1,1609887388,1616537912,"Added from Query Log"
233,0,attr.appsflyer.com,1,1609967096,1616537912,"Added from Query Log"
234,0,bitcoin.org,1,1610299028,1616537912,"Added from Query Log"
235,0,storage.googleapis.com,1,1610307535,1616537912,"Added from Query Log"
236,0,gstaticadssl.l.google.com,1,1610307690,1616537912,"Added from Query Log"
237,0,getmonero.org,1,1610314499,1616537912,"Added from Query Log"
238,0,www.getmonero.org,1,1610314684,1616537913,"Added from Query Log"
239,0,use-application-dns.net,1,1610744068,1616537913,"Added from Query Log"
240,0,ipinfo.io,1,1612304498,1616537913,"Added from Query Log"
241,0,ow1.res.office365.com,1,1612309969,1616537913,"Added from Query Log"
242,1,us-d-master-tutk.iotcplatform.com,1,1613606075,1616537908,"Wyze Third Party"
243,1,gm.iotcplatform.com,1,1613606090,1616537908,"Wyze Third Party"
244,1,cm.iotcplatform.com,1,1613606105,1616537908,"Wyze Third Party"
245,1,data.flurry.com,1,1613606117,1616537908,"Wyze Third Party"
246,0,widget-mediator.zopim.com,1,1615735345,1616537913,"Added from Query Log"
247,3,(\.|^)aliexpress\.ru$,1,1615923956,1616537908,
249,0,self.events.data.microsoft.com,1,1616339759,1616537913,"Added from Query Log"
250,0,www.binance.com,1,1619024893,1619024893,"Added from Query Log"
